('id3', [['沪A12L50', 0.9699067899020465, [602, 435, 873, 506]]], '2019-04-17 17:28:26')
('id1', [['皖AE887X', 0.9702955058504182, [373, 480, 644, 551]]], '2019-04-17 17:28:28')
('id2', [['川C66666', 0.9743253929135234, [466, 556, 734, 626]]], '2019-04-17 17:28:29')
('id3', [['沪A12L50', 0.972730585493088, [598, 433, 876, 506]]], '2019-04-17 17:28:31')
('id1', [['皖AE887X', 0.9776153479163973, [371, 480, 648, 553]]], '2019-04-17 17:28:32')
('id2', [['川C66666', 0.9746763791217529, [468, 553, 747, 628]]], '2019-04-17 17:28:34')
('id3', [['沪A12L50', 0.9740177988866897, [602, 434, 874, 505]]], '2019-04-17 17:28:35')
('id1', [['皖AE887X', 0.973794477312618, [368, 479, 647, 552]]], '2019-04-17 17:28:37')
('id2', [['川C66666', 0.9748171227179641, [473, 556, 735, 625]]], '2019-04-17 17:28:38')
('id3', [['沪A12L50', 0.9727302108353209, [606, 434, 878, 505]]], '2019-04-17 17:28:40')
('id1', [['皖AE887X', 0.9761617183545851, [371, 479, 647, 552]]], '2019-04-17 17:28:41')
('id2', [['川C66666', 0.97473583901239, [468, 555, 741, 626]]], '2019-04-17 17:28:43')
('id3', [['沪A12L50', 0.9667160681177729, [610, 434, 871, 503]]], '2019-04-17 17:28:44')
('id1', [['皖AE887X', 0.9749009864531618, [367, 479, 640, 552]]], '2019-04-17 17:28:46')
('id2', [['川C66666', 0.9734203900470637, [465, 555, 737, 626]]], '2019-04-17 17:28:47')
('id3', [['沪A12L50', 0.9678521837368711, [602, 433, 879, 506]]], '2019-04-17 17:28:49')
('id1', [['皖AE887X', 0.9719323941500644, [371, 480, 644, 551]]], '2019-04-17 17:28:50')
('id2', [['川C66666', 0.9758529407498052, [467, 555, 734, 625]]], '2019-04-17 17:28:52')
('id3', [['沪A12L50', 0.9748815723688639, [606, 435, 874, 505]]], '2019-04-17 17:28:54')
('id1', [['皖AE887X', 0.9752942749292828, [370, 479, 646, 552]]], '2019-04-17 17:28:56')
('id2', [['川C66666', 0.975465084811308, [475, 557, 728, 625]]], '2019-04-17 17:28:57')
('id1', [['皖AE887X', 0.9737983601294776, [371, 480, 639, 550]]], '2019-04-17 17:29:00')
('id2', [['川C66666', 0.9753430655885054, [469, 554, 742, 625]]], '2019-04-17 17:29:02')
('id1', [['皖AE887X', 0.9773976206639852, [372, 481, 644, 552]]], '2019-04-17 17:29:05')
('id2', [['川C66666', 0.9748343058855576, [469, 555, 733, 625]]], '2019-04-17 17:29:06')
('id3', [['沪A12L50', 0.9746803641180035, [606, 434, 879, 505]]], '2019-04-17 17:29:08')
('id1', [['皖AE887X', 0.9792385782374409, [371, 479, 649, 552]]], '2019-04-17 17:29:09')
('id2', [['川C66666', 0.9736884491645134, [466, 555, 744, 628]]], '2019-04-17 17:29:11')
('id1', [['皖AE887X', 0.9761662227627402, [370, 478, 650, 553]]], '2019-04-17 17:29:14')
('id2', [['川C66666', 0.9743386336596126, [470, 555, 743, 626]]], '2019-04-17 17:29:15')
('id3', [['沪A12L50', 0.9710444382120104, [604, 435, 871, 505]]], '2019-04-17 17:29:17')
('id1', [['皖AE887X', 0.9793895908624518, [368, 479, 644, 552]]], '2019-04-17 17:29:18')
('id2', [['川C66666', 0.9738161563734175, [468, 556, 736, 626]]], '2019-04-17 17:29:20')
('id3', [['沪A12L50', 0.9643020374296577, [603, 434, 875, 505]]], '2019-04-17 17:29:21')
('id1', [['皖AE887X', 0.9769273825914603, [371, 480, 642, 551]]], '2019-04-17 17:29:23')
('id2', [['川C66666', 0.9750405805312238, [468, 556, 731, 625]]], '2019-04-17 17:29:24')
('id3', [['沪A12L50', 0.9647220798763332, [599, 436, 869, 507]]], '2019-04-17 17:29:26')
('id1', [['皖AE887X', 0.9724758522712201, [370, 478, 648, 551]]], '2019-04-17 17:29:27')
('id2', [['川C66666', 0.9748345613340352, [469, 557, 728, 626]]], '2019-04-17 17:29:29')
('id3', [['沪A12L50', 0.9702088321819669, [602, 435, 874, 506]]], '2019-04-17 17:29:31')
('id1', [['皖AE887X', 0.9725952574046021, [374, 478, 651, 551]]], '2019-04-17 17:29:32')
('id2', [['川C66666', 0.9741342408177314, [469, 555, 729, 624]]], '2019-04-17 17:29:34')
('id3', [['沪A12L50', 0.9742470979551373, [604, 434, 873, 505]]], '2019-04-17 17:29:36')
('id1', [['皖AE887X', 0.9713582311219006, [367, 477, 647, 552]]], '2019-04-17 17:29:37')
('id2', [['川C66666', 0.9730759518348102, [467, 556, 739, 627]]], '2019-04-17 17:29:39')
('id3', [['沪A12L50', 0.9726115890772703, [599, 435, 867, 505]]], '2019-04-17 17:29:40')
('id1', [['皖AE887X', 0.9758127161295317, [368, 481, 641, 554]]], '2019-04-17 17:29:42')
('id2', [['川C66666', 0.9743468420706929, [470, 555, 741, 626]]], '2019-04-17 17:29:43')
('id3', [['沪A12L50', 0.9736003279546889, [607, 435, 871, 505]]], '2019-04-17 17:29:45')
('id1', [['皖AE887X', 0.9798918281142713, [366, 477, 653, 553]]], '2019-04-17 17:29:46')
('id2', [['川C66666', 0.9742664268899428, [466, 553, 739, 626]]], '2019-04-17 17:29:48')
('id3', [['沪A12L50', 0.9740598371911543, [605, 434, 875, 505]]], '2019-04-17 17:29:49')
('id1', [['皖AE887X', 0.975134806959663, [369, 478, 651, 553]]], '2019-04-17 17:29:50')
('id2', [['川C66666', 0.974960310104611, [470, 556, 737, 626]]], '2019-04-17 17:29:52')
('id3', [['沪A12L50', 0.9748288988927817, [604, 435, 874, 506]]], '2019-04-17 17:29:54')
('id1', [['皖AE887X', 0.9689297250200545, [368, 479, 648, 554]]], '2019-04-17 17:29:56')
('id2', [['川C66666', 0.9724468844138597, [468, 554, 737, 624]]], '2019-04-17 17:29:57')
('id3', [['沪A12L50', 0.9742578523360446, [603, 433, 879, 506]]], '2019-04-17 17:29:59')
('id1', [['皖AE887X', 0.9775202359332357, [369, 480, 647, 553]]], '2019-04-17 17:30:00')
('id2', [['川C66666', 0.9746472494803566, [471, 556, 733, 625]]], '2019-04-17 17:30:02')
('id3', [['沪A12L50', 0.9725142802372012, [604, 435, 874, 506]]], '2019-04-17 17:30:04')
('id1', [['皖AE887X', 0.9763400895115475, [372, 482, 643, 553]]], '2019-04-17 17:30:06')
('id3', [['沪A12L50', 0.9700469629966577, [603, 434, 873, 505]]], '2019-04-17 17:30:09')
('id1', [['皖AE887X', 0.9770929217198977, [366, 478, 647, 553]]], '2019-04-17 17:30:11')
('id2', [['川C66666', 0.9769479036191613, [469, 555, 728, 623]]], '2019-04-17 17:30:12')
